,Car Name,Car url,Year,Selling Price,Current Value,KMs Driven,Fuel,Seller Type,max_power,Transmission,Owner,Mileage,Engine,Drive Type,Seats,Gear Box
719,Maruti Ertiga VDI,/used-car-details/used-Maruti-Ertiga-VDI-cars-Kolkata_7F42790CF7D6FB44DB08485F19206A91.htm,2015,5.5 Lakh*,,"49,000 kms",Diesel,Dealer,88.50bhp@4000rpm,Manual,First Owner,25.47 kmpl,1248 CC,FWD,7,5 Speed
720,Hyundai Grand i10 1.2 Kappa Asta,/used-car-details/used-Hyundai-Grand-i10-1.2-Kappa-Asta-cars-Kolkata_3CAB9DB87F390AC7C55333C4CE5FF844.htm,2017,4.65 Lakh*,,"44,000 kms",Petrol,Dealer,81.86bhp@6000rpm,Manual,First Owner,18.9 kmpl,1197 CC,FWD,5,5 Speed
721,Hyundai Santro Xing GLS,/used-car-details/used-Hyundai-Santro-Xing-GLS-cars-Kolkata_8543C60E1D9197809CC9B610E533AA96.htm,2011,1.15 Lakh*,,"57,204 kms",Petrol,Dealer,62.1bhp@5500rpm,Manual,First Owner,17.92 kmpl,1086 CC,FWD,5,5 Speed
722,Honda City i VTEC VX Option,/used-car-details/used-Honda-City-2015-2017-i-VTEC-VX-Option-cars-Kolkata_B00113E4C505965D35F58A9A298C19BD.htm,2016,5.69 Lakh*,Rs.  12.47-16.62 Lakh*,"39,568 kms",Petrol,Dealer,117.3bhp@6600rpm,Manual,First Owner,17.8 kmpl,1497 CC,FWD,5,5 Speed
723,Honda Brio 1.2 VX MT,/used-car-details/used-Honda-Brio-1.2-VX-MT-cars-Kolkata_1525070372D2827F713B4E6ED8292A28.htm,2016,3.95 Lakh*,,"36,772 kms",Petrol,Dealer,86.8bhp@6000rpm,Manual,First Owner,18.5 kmpl,1198 CC,FWD,5,5 Speed
724,Toyota Fortuner 2.8 2WD MT BSIV,/used-car-details/used-Toyota-Fortuner-2016-2021-2.8-2WD-MT-BSIV-cars-Kolkata_7508CFF0F19AD7A4AB1ABA72ACD2BF05.htm,2020,29.75 Lakh*,Rs.  36.91-42.90 Lakh*,"22,000 kms",Diesel,Dealer,174.5bhp@3400rpm,Manual,First Owner,14.24 kmpl,2755 CC,RWD,7,6 Speed
725,Mercedes-Benz New C-Class 220 CDI MT,/used-car-details/used-Mercedes-Benz-New-C-Class-220-CDI-MT-cars-Kolkata_16C234CE6807B57FB313753706B38830.htm,2012,12.5 Lakh*,Rs.  57.63 Lakh*,"48,000 kms",Diesel,Dealer,"170 @ 3,700 (PS@rpm)",Manual,First Owner,15.8 kmpl,2148 CC,RWD,5,6 Speed
726,Hyundai Grand i10 1.2 Kappa Sportz BSIV,/used-car-details/used-Hyundai-Grand-i10-1.2-Kappa-Sportz-BSIV-cars-Kolkata_17F7D672328036DA70C9F068E61307AC.htm,2019,6.2 Lakh*,,"5,000 kms",Petrol,Individual,81.86bhp@6000rpm,Manual,First Owner,18.9 kmpl,1197 CC,FWD,5,5 Speed
727,Mahindra Scorpio Intelli Hybrid S6 Plus,/used-car-details/used-Mahindra-Scorpio-Intelli-Hybrid-S6-Plus-cars-Kolkata_0FBF595B42C6DB98CE52258C97B5E8EA.htm,2017,8.5 Lakh*,Rs.  14.74-20.21 Lakh*,"1,00,000 kms",Diesel,Individual,120bhp@4000rpm,Manual,First Owner,15.4 kmpl,2179 CC,RWD,7,5 Speed
728,Chevrolet Spark 1.0 LS,/used-car-details/used-Chevrolet-Spark-2007-2012-1.0-LS-cars-Kolkata_326F5D4A4A4AFB0D91216E9673FE7001.htm,2010,1.3 Lakh*,,"20,143 kms",Petrol,Dealer,62bhp@5400rpm,Manual,First Owner,18.0 kmpl,995 CC,FWD,5,5 Speed
729,Audi A4 New  2.0 TDI Multitronic,/used-car-details/used-Audi-A4-2008-2014-New--2.0-TDI-Multitronic-cars-Kolkata_B7C461629FE335E1A33E06AEF6386F45.htm,2011,9.6 Lakh*,,"40,000 kms",Diesel,Individual,140.8bhp@4200rpm,Automatic,First Owner,15.2 kmpl,1968 CC,FWD,5,6 Speed
730,Maruti Wagon R VXI,/used-car-details/used-Maruti-Wagon-R-VXI-cars-Kolkata_F0DB86C4AAF6607838C53DE4D13AB3ED.htm,2012,2.5 Lakh*,Rs.  5.33-7.05 Lakh*,"47,000 kms",Petrol,Dealer,67.05bhp@5500rpm,Manual,First Owner,21.79 kmpl,998 CC,FWD,5,5 Speed
731,Maruti Swift Dzire 1.2 Vxi BSIV,/used-car-details/used-Maruti-Swift-Dzire-2008-1.2-Vxi-BSIV-cars-Kolkata_45D73B5E34D6F606AEE747DADB2ED9F9.htm,2012,3.2 Lakh*,Rs.  6.67-10.01 Lakh*,"42,645 kms",Petrol,Dealer,85.8bhp@6000rpm,Manual,First Owner,17.5 kmpl,1197 CC,2 WD,5,5 Speed
